,Estimate,Std. Error,z value,Pr(>|z|),Odds ratio,2.5%,97.5%
1|2,1.33,0.80,1.66,0.10,3.76,0.79,17.97
2|3,4.92,0.97,5.07,0.00,137.37,20.47,921.72
3|4,6.64,1.05,6.34,0.00,762.84,97.90,5944.37
4|5,8.52,1.14,7.47,0.00,5005.03,535.48,46780.80
SituationAcquaintance,2.54,0.63,4.04,0.00,12.67,3.69,43.52
SituationParent or Guardian,5.29,0.78,6.75,0.00,198.55,42.70,923.16
SituationClose friend,6.84,0.87,7.86,0.00,938.12,170.37,5165.69
SituationRomantic partner,6.17,0.83,7.44,0.00,477.94,94.13,2426.80
